group_dimension,ground_truth,file_extension,resolution_bucket,source_guess,sample_count,accuracy,false_positive_count,false_negative_count,mean_score,median_score,min_score,max_score,score_range,std_score
ground_truth,ai,all,all,all,30,0.7,0,9,0.167572,0.16977,0.1146,0.208551,0.093951,0.024482
ground_truth,real,all,all,all,30,0.4,18,0,0.175866,0.172545,0.096813,0.262213,0.1654,0.045115
ground_truth+file_extension,ai,png,all,all,30,0.7,0,9,0.167572,0.16977,0.1146,0.208551,0.093951,0.024482
ground_truth+file_extension,real,jpg,all,all,30,0.4,18,0,0.175866,0.172545,0.096813,0.262213,0.1654,0.045115
ground_truth+resolution_bucket,ai,all,medium,all,30,0.7,0,9,0.167572,0.16977,0.1146,0.208551,0.093951,0.024482
ground_truth+resolution_bucket,real,all,large,all,20,0.4,12,0,0.177159,0.183203,0.096813,0.262213,0.1654,0.050482
ground_truth+resolution_bucket,real,all,medium,all,9,0.444444,5,0,0.167091,0.167131,0.13663,0.219579,0.082949,0.026968
ground_truth+resolution_bucket,real,all,small,all,1,0.0,1,0,0.228971,0.228971,0.228971,0.228971,0.0,0.0
ground_truth+source_guess,ai,all,all,png_no_exif_export,30,0.7,0,9,0.167572,0.16977,0.1146,0.208551,0.093951,0.024482
ground_truth+source_guess,real,all,all,jpeg_no_exif_export,18,0.277778,13,0,0.187869,0.187792,0.13663,0.262213,0.125583,0.038975
ground_truth+source_guess,real,all,all,unknown,12,0.583333,5,0,0.157861,0.146519,0.096813,0.228971,0.132158,0.047641
ground_truth+file_extension+resolution_bucket,ai,png,medium,all,30,0.7,0,9,0.167572,0.16977,0.1146,0.208551,0.093951,0.024482
ground_truth+file_extension+resolution_bucket,real,jpg,large,all,20,0.4,12,0,0.177159,0.183203,0.096813,0.262213,0.1654,0.050482
ground_truth+file_extension+resolution_bucket,real,jpg,medium,all,9,0.444444,5,0,0.167091,0.167131,0.13663,0.219579,0.082949,0.026968
ground_truth+file_extension+resolution_bucket,real,jpg,small,all,1,0.0,1,0,0.228971,0.228971,0.228971,0.228971,0.0,0.0
combined,ai,png,medium,png_no_exif_export,30,0.7,0,9,0.167572,0.16977,0.1146,0.208551,0.093951,0.024482
combined,real,jpg,large,jpeg_no_exif_export,9,0.111111,8,0,0.208646,0.208724,0.142203,0.262213,0.12001,0.038044
combined,real,jpg,large,unknown,11,0.636364,4,0,0.151397,0.146013,0.096813,0.222499,0.125686,0.044435
combined,real,jpg,medium,jpeg_no_exif_export,9,0.444444,5,0,0.167091,0.167131,0.13663,0.219579,0.082949,0.026968
combined,real,jpg,small,unknown,1,0.0,1,0,0.228971,0.228971,0.228971,0.228971,0.0,0.0
