image_id,label,scene_type,stability_issue_type,format_png_final_label,format_jpg_q95_final_label,resolution_flip_families,needs_manual_review
ai_001,ai,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_003,ai,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_007,ai,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_008,ai,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_009,ai,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_016,ai,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_019,ai,indoor_home,format_and_resolution_flip,uncertain,ai,jpg_q95;png,true
ai_021,ai,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_025,ai,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_026,ai,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_028,ai,indoor_home,resolution_flip,real,real,jpg_q95;png,true
ai_032,ai,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_036,ai,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_038,ai,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_039,ai,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_041,ai,lowlight_weather,resolution_flip,ai,ai,jpg_q95;png,true
ai_043,ai,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_045,ai,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_049,ai,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_052,ai,nature_travel,format_and_resolution_flip,uncertain,ai,png,true
ai_065,ai,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_066,ai,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_069,ai,object_closeup,resolution_flip,ai,ai,jpg_q95;png,true
ai_070,ai,object_closeup,resolution_flip,ai,ai,jpg_q95;png,true
ai_071,ai,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_072,ai,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_073,ai,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_074,ai,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_077,ai,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_079,ai,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_085,ai,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_086,ai,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_087,ai,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_088,ai,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_091,ai,people_partial,resolution_flip,ai,ai,jpg_q95;png,true
ai_093,ai,people_partial,format_and_resolution_flip,uncertain,ai,png,true
ai_095,ai,people_partial,resolution_flip,ai,ai,jpg_q95;png,true
ai_097,ai,people_partial,resolution_flip,uncertain,uncertain,jpg_q95;png,true
ai_099,ai,people_partial,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_001,real,food_retail,resolution_flip,real,real,jpg_q95;png,true
real_002,real,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_003,real,food_retail,resolution_flip,ai,ai,jpg_q95;png,true
real_005,real,food_retail,resolution_flip,ai,ai,jpg_q95;png,true
real_006,real,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_007,real,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_009,real,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_011,real,food_retail,resolution_flip,real,real,jpg_q95;png,true
real_012,real,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_014,real,food_retail,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_015,real,food_retail,resolution_flip,real,real,jpg_q95;png,true
real_017,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_018,real,indoor_home,resolution_flip,real,real,jpg_q95;png,true
real_020,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_021,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_022,real,indoor_home,resolution_flip,ai,ai,jpg_q95;png,true
real_023,real,indoor_home,resolution_flip,ai,ai,jpg_q95;png,true
real_024,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_026,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_027,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
