image_path,true_label,category,dataset_role,semantic_category,transform_group,is_main_dataset,base_id,filename,extension,file_size_kb,width,height,aspect_ratio,megapixels,image_mode,has_exif,difficulty,score,predicted_label,final_label,is_uncertain,threshold_used,detector_config_name,raw_false_positive,final_false_positive,false_positive,status,error_message
data\test_images\day14_expansion\resolution_control\long_1024\ai_001_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,001_food_retail,ai_001_food_retail_jpg_q95_long1024.jpg,jpg,271.79,1024,768,1.333333,0.786432,RGB,false,hard,0.192053,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_001_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,001_food_retail,ai_001_food_retail_png_long1024.png,png,1203.39,1024,768,1.333333,0.786432,RGB,false,hard,0.190258,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_002_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,002_food_retail,ai_002_food_retail_jpg_q95_long1024.jpg,jpg,236.62,1024,768,1.333333,0.786432,RGB,false,hard,0.169095,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_002_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,002_food_retail,ai_002_food_retail_png_long1024.png,png,1136.79,1024,768,1.333333,0.786432,RGB,false,hard,0.166221,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_003_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,003_food_retail,ai_003_food_retail_jpg_q95_long1024.jpg,jpg,323.38,1024,768,1.333333,0.786432,RGB,false,hard,0.156896,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_003_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,003_food_retail,ai_003_food_retail_png_long1024.png,png,1264.85,1024,768,1.333333,0.786432,RGB,false,hard,0.154732,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_004_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,004_food_retail,ai_004_food_retail_jpg_q95_long1024.jpg,jpg,251.46,1024,768,1.333333,0.786432,RGB,false,hard,0.171963,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_004_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,004_food_retail,ai_004_food_retail_png_long1024.png,png,1182.87,1024,768,1.333333,0.786432,RGB,false,hard,0.169189,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_005_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,005_food_retail,ai_005_food_retail_jpg_q95_long1024.jpg,jpg,194.65,1024,768,1.333333,0.786432,RGB,false,hard,0.139587,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_005_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,005_food_retail,ai_005_food_retail_png_long1024.png,png,1011.72,1024,768,1.333333,0.786432,RGB,false,hard,0.138393,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_006_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,006_food_retail,ai_006_food_retail_jpg_q95_long1024.jpg,jpg,190.99,1024,768,1.333333,0.786432,RGB,false,hard,0.157683,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_006_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,006_food_retail,ai_006_food_retail_png_long1024.png,png,989.41,1024,768,1.333333,0.786432,RGB,false,hard,0.155929,ai,uncertain,true,0.150000,baseline,false,false,false,success,
