image_path,true_label,category,dataset_role,semantic_category,transform_group,extension,original_size,original_label,resized_512_label,resized_768_label,resized_1024_label,score_original,score_512,score_768,score_1024,score_min,score_max,score_delta,flip_type,original_resolution_bucket
data\test_images\day14_expansion\raw\real\nature_travel\real_050_nature_travel_native.jpeg,real,nature_travel,raw_source,nature_travel,raw,jpeg,3024x4032,real,ai,ai,ai,0.073638,0.227578,0.230545,0.228560,0.073638,0.230545,0.156907,real_to_ai_after_resize,xlarge
data\test_images\legacy\day8_small_30\real\real_018.jpg,real,day8_small_30,legacy,unknown,legacy,jpg,3024x4032,real,ai,ai,ai,0.098813,0.245287,0.255125,0.237563,0.098813,0.255125,0.156312,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\nature_travel\real_057_nature_travel_native.jpeg,real,nature_travel,raw_source,nature_travel,raw,jpeg,4032x3024,real,ai,ai,ai,0.087782,0.217989,0.230486,0.236481,0.087782,0.236481,0.148699,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_050_nature_travel_jpg_q95.jpg,real,real_jpg,paired_format,nature_travel,real_jpg,jpg,3024x4032,real,ai,ai,ai,0.083028,0.227557,0.230533,0.228555,0.083028,0.230533,0.147505,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_050_nature_travel_png.png,real,real_png,paired_format,nature_travel,real_png,png,3024x4032,real,ai,ai,ai,0.083905,0.226592,0.229641,0.227626,0.083905,0.229641,0.145736,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_057_nature_travel_jpg_q95.jpg,real,real_jpg,paired_format,nature_travel,real_jpg,jpg,4032x3024,real,ai,ai,ai,0.097161,0.217977,0.230508,0.236531,0.097161,0.236531,0.139370,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_057_nature_travel_png.png,real,real_png,paired_format,nature_travel,real_png,png,4032x3024,real,ai,ai,ai,0.097477,0.215801,0.228601,0.234713,0.097477,0.234713,0.137236,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\lowlight_weather\real_036_lowlight_weather_native.jpeg,real,lowlight_weather,raw_source,lowlight_weather,raw,jpeg,3024x4032,real,ai,ai,ai,0.101560,0.235098,0.231635,0.219687,0.101560,0.235098,0.133538,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\lowlight_weather\real_038_lowlight_weather_native.jpeg,real,lowlight_weather,raw_source,lowlight_weather,raw,jpeg,4284x5712,real,ai,ai,ai,0.107247,0.235958,0.236779,0.237682,0.107247,0.237682,0.130435,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_088_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,4284x5712,real,ai,ai,ai,0.094018,0.214515,0.218495,0.222655,0.094018,0.222655,0.128637,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_023_indoor_home_jpg_q95.jpg,real,real_jpg,paired_format,indoor_home,real_jpg,jpg,3024x4032,ai,uncertain,ai,ai,0.269115,0.143300,0.238158,0.247392,0.143300,0.269115,0.125815,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_036_lowlight_weather_jpg_q95.jpg,real,real_jpg,paired_format,lowlight_weather,real_jpg,jpg,3024x4032,real,ai,ai,ai,0.110450,0.234978,0.231487,0.219454,0.110450,0.234978,0.124528,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_036_lowlight_weather_png.png,real,real_png,paired_format,lowlight_weather,real_png,png,3024x4032,real,ai,ai,ai,0.111259,0.234447,0.231035,0.218993,0.111259,0.234447,0.123188,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_023_indoor_home_png.png,real,real_png,paired_format,indoor_home,real_png,png,3024x4032,ai,uncertain,ai,ai,0.269566,0.146433,0.248994,0.262948,0.146433,0.269566,0.123133,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_081_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,4284x5712,real,ai,ai,ai,0.083699,0.202583,0.205418,0.206244,0.083699,0.206244,0.122545,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_003_food_retail_png.png,real,real_png,paired_format,food_retail,real_png,png,3024x4032,ai,uncertain,uncertain,uncertain,0.254750,0.140338,0.135639,0.132330,0.132330,0.254750,0.122420,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_003_food_retail_jpg_q95.jpg,real,real_jpg,paired_format,food_retail,real_jpg,jpg,3024x4032,ai,uncertain,uncertain,uncertain,0.252999,0.142308,0.136516,0.130898,0.130898,0.252999,0.122101,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_100_people_partial_jpg_q95.jpg,real,real_jpg,paired_format,people_partial,real_jpg,jpg,2316x3088,ai,uncertain,uncertain,uncertain,0.252387,0.130830,0.131141,0.150699,0.130830,0.252387,0.121557,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_038_lowlight_weather_png.png,real,real_png,paired_format,lowlight_weather,real_png,png,4284x5712,real,ai,ai,ai,0.116939,0.234942,0.235740,0.236727,0.116939,0.236727,0.119788,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_038_lowlight_weather_jpg_q95.jpg,real,real_jpg,paired_format,lowlight_weather,real_jpg,jpg,4284x5712,real,ai,ai,ai,0.119348,0.235965,0.236779,0.237666,0.119348,0.237666,0.118318,real_to_ai_after_resize,xlarge
