image_path,true_label,category,format,has_exif,original_score,resize_mean_score,resize_delta,mean_score,median_score,min_score,max_score,score_std,score_range,ai_vote_count,real_vote_count,resolution_flip_count,final_label_v2,final_label_v21,decision_reason_v2,decision_reason_v21,is_correct_when_definite_v21,raw_label_at_0_15
data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.175444,0.18943,0.013986,0.185934,0.187851,0.175444,0.192589,0.007018,0.017145,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.156741,0.164246,0.007505,0.16237,0.161822,0.156741,0.169095,0.005213,0.012354,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.122375,0.171587,0.049212,0.159284,0.165978,0.122375,0.182806,0.023292,0.060431,3,1,1,uncertain,uncertain,resolution_flip,resolution_flip_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.153307,0.175259,0.021952,0.169771,0.174001,0.153307,0.177777,0.009737,0.02447,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.124542,0.143909,0.019367,0.139067,0.142636,0.124542,0.146453,0.008798,0.021911,0,4,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.147751,0.155913,0.008162,0.153872,0.155027,0.147751,0.157683,0.00401,0.009932,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_007_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.168416,0.197194,0.028778,0.189999,0.195354,0.168416,0.200874,0.012707,0.032458,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_008_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.158356,0.181777,0.023421,0.175921,0.180807,0.158356,0.183716,0.010375,0.02536,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_009_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.160059,0.184329,0.02427,0.178262,0.183437,0.160059,0.186115,0.010713,0.026056,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_010_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.131111,0.1533,0.022189,0.147753,0.150001,0.131111,0.159898,0.010715,0.028787,2,2,1,uncertain,uncertain,weak_vote_majority,weak_vote_majority_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_011_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.135595,0.144197,0.008602,0.142046,0.143722,0.135595,0.145146,0.003808,0.009551,0,4,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_012_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.189874,0.209781,0.019907,0.204805,0.208582,0.189874,0.212181,0.008785,0.022307,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
