image_path,true_label,category,folder,original_width,original_height,resolution_variant,resized_width,resized_height,score,raw_label_at_0_15,format,has_exif,status,warning,error_message,variant_path
data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,original,1448,1086,0.175444,ai,jpg,false,success,reused_day15_cached_detection,,data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_1024,1024,768,0.192053,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_001_food_retail_jpg_q95__2a9fbe1bf0ed__resized_1024.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_768,768,576,0.192589,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_001_food_retail_jpg_q95__2a9fbe1bf0ed__resized_768.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_001_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_512,512,384,0.183648,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_001_food_retail_jpg_q95__2a9fbe1bf0ed__resized_512.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,original,1448,1086,0.156741,ai,jpg,false,success,reused_day15_cached_detection,,data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_1024,1024,768,0.169095,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_002_food_retail_jpg_q95__e58e78c7ad23__resized_1024.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_768,768,576,0.165771,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_002_food_retail_jpg_q95__e58e78c7ad23__resized_768.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_002_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_512,512,384,0.157872,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_002_food_retail_jpg_q95__e58e78c7ad23__resized_512.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,original,1448,1086,0.122375,real,jpg,false,success,reused_day15_cached_detection,,data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_1024,1024,768,0.156896,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_003_food_retail_jpg_q95__8546c5f36513__resized_1024.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_768,768,576,0.17506,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_003_food_retail_jpg_q95__8546c5f36513__resized_768.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_003_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_512,512,384,0.182806,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_003_food_retail_jpg_q95__8546c5f36513__resized_512.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,original,1448,1086,0.153307,ai,jpg,false,success,reused_day15_cached_detection,,data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_1024,1024,768,0.171963,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_004_food_retail_jpg_q95__f11e8f17fedc__resized_1024.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_768,768,576,0.177777,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_004_food_retail_jpg_q95__f11e8f17fedc__resized_768.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_004_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_512,512,384,0.176038,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_004_food_retail_jpg_q95__f11e8f17fedc__resized_512.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,original,1448,1086,0.124542,real,jpg,false,success,reused_day15_cached_detection,,data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_1024,1024,768,0.139587,real,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_005_food_retail_jpg_q95__8a0a01b0f4da__resized_1024.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_768,768,576,0.145686,real,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_005_food_retail_jpg_q95__8a0a01b0f4da__resized_768.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_005_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_512,512,384,0.146453,real,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_005_food_retail_jpg_q95__8a0a01b0f4da__resized_512.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,original,1448,1086,0.147751,real,jpg,false,success,reused_day15_cached_detection,,data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_1024,1024,768,0.157683,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_006_food_retail_jpg_q95__968a84b0b62e__resized_1024.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_768,768,576,0.157225,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_006_food_retail_jpg_q95__968a84b0b62e__resized_768.jpg
data\test_images\day14_expansion\paired_format\ai_jpg\ai_006_food_retail_jpg_q95.jpg,ai,ai_jpg,ai_jpg,1448,1086,long_edge_512,512,384,0.15283,ai,jpg,false,success,reused_day15_cached_detection,,.tmp\day15_resolution_variants\ai\ai_jpg\ai_006_food_retail_jpg_q95__968a84b0b62e__resized_512.jpg
